Date,Cumulative,New_Cases,Recovered,Deaths
20/3/2020,0,0,0,0
21/3/2020,0,0,0,0
22/3/2020,0,0,0,0
23/3/2020,0,0,0,0
24/3/2020,0,0,0,0
25/3/2020,0,0,0,0
26/3/2020,0,0,0,0
27/3/2020,0,0,0,0
28/3/2020,0,0,0,0
29/3/2020,0,0,0,0
30/3/2020,0,0,0,0
31/3/2020,0,0,0,0
1/4/2020,0,0,0,0
2/4/2020,0,0,0,0
3/4/2020,0,0,0,0
4/4/2020,0,0,0,0
5/4/2020,0,0,0,0
6/4/2020,0,0,0,0
7/4/2020,1,1,0,1
8/4/2020,1,0,0,1
9/4/2020,1,0,0,1
10/4/2020,1,0,0,1
11/4/2020,1,0,0,1
12/4/2020,4,1,0,1
13/4/2020,5,3,0,1
14/4/2020,5,0,0,1
15/4/2020,10,5,0,1
16/4/2020,10,0,0,1
17/4/2020,10,0,0,1
18/4/2020,10,0,0,1
19/4/2020,10,0,0,1
20/4/2020,10,0,0,1
21/4/2020,10,0,0,1
22/4/2020,10,0,0,1
23/4/2020,10,0,0,1
24/4/2020,10,0,0,1
25/4/2020,10,0,0,1
26/4/2020,10,0,0,1
27/4/2020,10,0,0,1
28/4/2020,12,2,0,1
29/4/2020,12,0,0,1
30/4/2020,12,0,0,1
1/5/2020,12,0,0,1
2/5/2020,12,0,0,1
3/5/2020,12,0,0,1
4/5/2020,12,0,0,1
5/5/2020,12,0,0,1
6/5/2020,12,0,0,1
7/5/2020,12,0,0,1
8/5/2020,12,0,0,1
9/5/2020,12,0,0,1
10/5/2020,12,0,0,1
11/5/2020,12,0,0,1
12/5/2020,12,0,0,1
13/5/2020,12,0,0,1
14/5/2020,12,0,0,1
15/5/2020,12,0,0,1
16/5/2020,12,0,4,2
17/5/2020,12,0,4,2
18/5/2020,12,0,4,2
19/5/2020,12,0,4,2
20/5/2020,12,0,4,2
21/5/2020,12,0,4,2
22/5/2020,12,0,4,2
23/5/2020,12,0,9,2
24/5/2020,12,0,9,2
25/5/2020,15,3,9,2
26/5/2020,15,0,9,2
27/5/2020,15,0,9,2
28/5/2020,15,0,9,2
29/5/2020,15,0,9,2
30/5/2020,18,3,9,2
31/5/2020,18,0,9,2
1/6/2020,18,0,9,2
2/6/2020,18,0,9,2
3/6/2020,18,0,9,2
4/6/2020,18,0,9,2
5/6/2020,19,1,10,2
6/6/2020,19,0,10,2
7/6/2020,19,0,10,2
8/6/2020,19,0,10,2
9/6/2020,22,3,10,2
10/6/2020,22,0,10,2
11/6/2020,24,2,10,2
12/6/2020,24,0,10,2
13/6/2020,24,0,10,2
14/6/2020,24,0,10,2
15/6/2020,24,0,10,2
16/6/2020,24,0,10,2
17/6/2020,26,2,10,2
18/6/2020,44,18,10,2
19/6/2020,44,0,10,2
20/6/2020,46,2,10,2
21/6/2020,46,0,10,2
22/6/2020,50,4,10,2
23/6/2020,50,0,10,2
24/6/2020,50,0,10,2
25/6/2020,51,1,10,2
26/6/2020,51,0,10,2
27/6/2020,51,0,10,2
28/6/2020,51,0,10,2
29/6/2020,58,7,20,3
30/6/2020,58,0,22,3
1/7/2020,64,6,22,3
2/7/2020,67,3,22,3
3/7/2020,72,5,23,3
4/7/2020,72,0,23,3
5/7/2020,73,1,23,3
