Date,Seven_day_Ave,Deaths,Positivity,PCRTests
1/8/2020,175,5,,
2/8/2020,201,5,,
3/8/2020,195,6,,
4/8/2020,200,6,,
5/8/2020,208,6,,
6/8/2020,186,6,,
7/8/2020,183,5,13.7,
8/8/2020,130,5,10.2,
9/8/2020,104,5,8.8,
10/8/2020,96,3,7.8,
11/8/2020,85,3,6.4,
12/8/2020,79,5,6.1,
13/8/2020,85,4,6.3,1513
14/8/2020,88,4,6.3,1549
15/8/2020,85,4,5.9,1574
16/8/2020,87,4,5.9,1611
17/8/2020,80,4,6.1,1377
18/8/2020,80,5,6.4,1256
19/8/2020,107,4,8,1286
20/8/2020,107,3,7.9,1307
21/8/2020,106,3,7.5,1392
22/8/2020,102,3,7.5,1337
23/8/2020,95,3,7.3,1238
24/8/2020,108,3,9.2,1219
25/8/2020,116,4,9.5,1269
26/8/2020,87,4,8,1163
27/8/2020,78,5,7.5,1119
28/8/2020,81,6,7.8,1082
29/8/2020,73,6,7,1099
30/8/2020,68,6,6.5,1063
31/8/2020,61,7,5.3,1072
1/9/2020,51,5,5.1,992
2/9/2020,55,4,5.4,1000
3/9/2020,55,3,5.3,1021
4/9/2020,64,2,6.9,931
5/9/2020,81,2,9.8,861
6/9/2020,100,2,12.7,870
