Date,Number
20/3/2020,0
21/3/2020,0
22/3/2020,0
23/3/2020,0
24/3/2020,0
25/3/2020,0
26/3/2020,1
27/3/2020,2
28/3/2020,0
29/3/2020,0
30/3/2020,1
31/3/2020,0
1/4/2020,0
2/4/2020,0
3/4/2020,0
4/4/2020,0
5/4/2020,0
6/4/2020,0
7/4/2020,1
8/4/2020,0
9/4/2020,0
10/4/2020,0
11/4/2020,0
12/4/2020,0
13/4/2020,3
14/4/2020,0
15/4/2020,0
16/4/2020,5
17/4/2020,0
18/4/2020,0
19/4/2020,0
20/4/2020,0
21/4/2020,1
22/4/2020,0
23/4/2020,0
24/4/2020,0
25/4/2020,2
26/4/2020,0
27/4/2020,1
28/4/2020,1
29/4/2020,0
30/4/2020,0
1/5/2020,0
2/5/2020,0
3/5/2020,0
4/5/2020,0
5/5/2020,0
6/5/2020,0
7/5/2020,0
8/5/2020,0
9/5/2020,0
10/5/2020,1
11/5/2020,1
12/5/2020,0
13/5/2020,0
14/5/2020,0
15/5/2020,4
16/5/2020,0
17/5/2020,0
18/5/2020,0
19/5/2020,8
20/5/2020,0
21/5/2020,2
22/5/2020,1
23/5/2020,12
24/5/2020,2
25/5/2020,3
26/5/2020,0
27/5/2020,0
28/5/2020,0
29/5/2020,2
30/5/2020,7
31/5/2020,0
1/6/2020,1
2/6/2020,1
3/6/2020,0
4/6/2020,0
5/6/2020,0
6/6/2020,0
7/6/2020,0
8/6/2020,0
9/6/2020,0
10/6/2020,0
11/6/2020,1
12/6/2020,0
13/6/2020,0
14/6/2020,0
15/6/2020,0
16/6/2020,0
17/6/2020,0
18/6/2020,20
19/6/2020,11
20/6/2020,0
21/6/2020,1
22/6/2020,2
23/6/2020,3
24/6/2020,0
25/6/2020,0
26/6/2020,0
27/6/2020,0
28/6/2020,0
29/6/2020,4
30/6/2020,3
1/7/2020,13
2/7/2020,2
3/7/2020,1
4/7/2020,8
5/7/2020,3
