Date,Bulawayo,Harare,Manicaland,Mash Cent,Mash East,Mash West,masvingo,Mat North,Mat South,Midlands
7-Aug-20,91,80,14,4,16,7,7,11,70,24
8-Aug-20,92,82,15,4,16,7,7,11,70,26
9-Aug-20,92,83,16,4,16,7,7,12,74,27
10-Aug-20,93,86,16,4,16,7,6,12,74,27
11-Aug-20,94,87,16,4,18,7,6,12,74,27
12-Aug-20,96,89,16,4,19,7,6,12,74,27
13-Aug-20,97,90,16,4,19,6,6,13,74,28
14-Aug-20,97,92,16,6,19,10,6,13,74,28
15-Aug-20,99,93,17,6,20,10,6,13,74,30
16-Aug-20,100,96,18,6,20,10,6,13,74,30
17-Aug-20,101,96,18,6,20,11,6,13,76,30
18-Aug-20,101,98,18,6,21,11,6,14,76,30
19-Aug-20,101,107,19,8,21,11,11,14,78,30
20-Aug-20,102,108,19,9,21,11,11,14,84,31
21-Aug-20,102,109,20,9,23,12,11,14,84,31
22-Aug-20,102,112,20,9,23,12,11,14,84,31
23-Aug-20,103,113,20,9,24,12,11,14,84,31
24-Aug-20,104,115,20,10,25,13,13,14,85,32
25-Aug-20,105,118,20,11,25,13,13,14,89,32
26-Aug-20,105,118,21,12,25,14,13,14,92,32
27-Aug-20,106,118,21,12,25,15,13,14,93,32
28-Aug-20,106,119,21,12,26,16,14,15,93,33
29-Aug-20,106,119,21,12,26,16,14,15,93,33
30-Aug-20,106,119,21,12,26,16,14,15,93,33
31-Aug-20,106,120,21,13,26,17,15,15,100,33
1-Sep-20,107,120,22,13,26,19,15,15,101,34
2-Sep-20,107,120,23,14,26,21,15,15,102,34
3-Sep-20,107,120,23,14,26,21,15,15,107,34
4-Sep-20,108,127,23,14,26,21,15,16,107,34
5-Sep-20,108,133,23,14,26,21,15,16,107,34
6-Sep-20,108,139,23,14,27,21,15,16,107,34
