Date,Bulawayo,Harare,Manicaland,Mash Central,Mash East,Mash West,Masvingo,Mat north,Mat South ,Midlands
28/7/2020,235,260,159,0,0,0,1.3,20,6,22
29/7/2020,235,460,161,0,0,0,6,125,212,1
30/7/2020,243,399,110,0,0,0.7,1.3,132,3,2
31/7/2020,144,263,105,0,0,0,7,80,9,6
1/8/2020,111,560,0,0,0,0,0,5,51,0
2/8/2020,549,257,207,0,0,0,3.4,0,53,0
3/8/2020,355,395,54,0,0,0,2,3,54,30
4/8/2020,302,262,61,0,0,0,0,0,35,19
5/8/2020,157,552,60,3,0,0,3,121,137,0
6/8/2020,216,142,66,0,0,0,0,121,0,0
7/8/2020,157,269,115,0,0,0,0,0,0,0
